,qnum,name,coordinates,birth location,birth country,img
144,Q45626,Ruud van Nistelrooy,"(51.766666666, 5.516666666)",Oss,Netherlands,http://commons.wikimedia.org/wiki/Special:FilePath/Ruud%20van%20Nistelrooy%202017.jpg
146,Q47230,Andrei Arshavin,"(59.95, 30.316666666)",Saint Petersburg,Russia,http://commons.wikimedia.org/wiki/Special:FilePath/Arshavin%20Andrei.jpg
147,Q483137,Petr Čech,"(49.741388888, 13.3825)",Plzeň,Czech Republic,http://commons.wikimedia.org/wiki/Special:FilePath/Arsenal%20players%20training%20before%202019%20UEFA%20Europa%20League%20final%2007%20%28cropped%29.jpg
148,Q187125,Hristo Stoichkov,"(42.143333333, 24.748888888)",Plovdiv,Bulgaria,http://commons.wikimedia.org/wiki/Special:FilePath/Stoichkov%20in%202016.jpg
150,Q166317,Paulo Dybala,"(-31.7767, -63.8025)",Laguna Larga,Argentina,http://commons.wikimedia.org/wiki/Special:FilePath/2017%20FRIENDLY%20MATCH%20RUSSIA%20v%20ARGENTINA%20-%20Paulo%20Dybala%2001%20%28cropped%29.jpg
151,Q483417,Rio Ferdinand,"(51.4736, -0.0912)",Camberwell,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/Rio%20Ferdinand.jpg
153,Q171583,Bobby Charlton,"(55.181, -1.568)",Ashington,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/Bobby%20Charlton.jpg
154,Q459707,Diego Costa,"(-10.916944444, -37.65)",Lagarto,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/Diego%20Costa%20-%2001.jpg
155,Q659634,Deco,"(-23.693888888, -46.565)",São Bernardo do Campo,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/Deco%2021dec2006.jpg
156,Q185389,Dennis Bergkamp,"(52.383333333, 4.9)",Amsterdam,Netherlands,http://commons.wikimedia.org/wiki/Special:FilePath/Dennis%20Bergkamp%202014.jpg
158,Q165125,Javier Hernández,"(20.676666666, -103.3475)",Guadalajara,Mexico,http://commons.wikimedia.org/wiki/Special:FilePath/Hertha%20BSC%20vs.%20West%20Ham%20United%2020190731%20%28139%29.jpg
159,Q508711,Didier Deschamps,"(43.4925, -1.476388888)",Bayonne,France,http://commons.wikimedia.org/wiki/Special:FilePath/Didier%20Deschamps%20in%202018.jpg
160,Q62786,Hulk,"(-7.230555555, -35.881111111)",Campina Grande,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/Bayer-04%20-%20Zenit%20%2814%29.jpg
161,Q193706,David Luiz,"(-23.685833333, -46.622777777)",Diadema,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/David%20Luiz%20and%20Ahmed%20Musa%20%28cropped%29.jpg
162,Q58377,André Schürrle,"(49.481111111, 8.435277777)",Ludwigshafen,Germany,http://commons.wikimedia.org/wiki/Special:FilePath/Andre%20Sch%C3%BCrrle%202019.jpg
163,Q312157,Raheem Sterling,"(17.971388888, -76.793055555)",Kingston,Jamaica,http://commons.wikimedia.org/wiki/Special:FilePath/Raheem%20Sterling%202018.jpg
164,Q133556,Ashley Cole,"(51.5152, -0.0462)",Stepney,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/ACole.JPG
165,Q46347,Patrick Vieira,"(14.731944444, -17.457222222)",Dakar,Senegal,http://commons.wikimedia.org/wiki/Special:FilePath/Patrick%20Vieira.jpg
166,Q183967,David Trezeguet,"(49.443055555, 1.1025)",Rouen,France,http://commons.wikimedia.org/wiki/Special:FilePath/David%20Trezeguet%20became%20Save%20the%20Dream%20Ambassador%2C%202017.jpg
167,Q1916,Patrice Evra,"(14.731944444, -17.457222222)",Dakar,Senegal,http://commons.wikimedia.org/wiki/Special:FilePath/Patrice%20Evra%20Euro%202012.jpg
168,Q1939,Nicolas Anelka,"(48.820277777, 2.130277777)",Le Chesnay,France,http://commons.wikimedia.org/wiki/Special:FilePath/Nicolas%20Anelka%204720.jpg
169,Q210453,Thiago Silva,"(-22.908333333, -43.196388888)",Rio de Janeiro,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/20180610%20FIFA%20Friendly%20Match%20Austria%20vs.%20Brazil%20Thiago%20Silva%20850%201582.jpg
170,Q215890,Dunga,"(-28.387777777, -53.915)",Ijuí,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/Dunga061115.jpg
171,Q196219,Henrikh Mkhitaryan,"(40.181388888, 44.514444444)",Yerevan,Armenia,http://commons.wikimedia.org/wiki/Special:FilePath/Henrikh%20Mkhitaryan%202017.jpg
172,Q969423,Keylor Navas,"(9.3403459, -83.7337922)",San Isidro de El General,Costa Rica,http://commons.wikimedia.org/wiki/Special:FilePath/Real%20press%202015%20%283%29%202015-11-28%20Keylor%20Navas.jpg
174,Q273715,Jordan Henderson,"(54.9, -1.380277777)",Sunderland,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/FWC%202018%20-%20Round%20of%2016%20-%20COL%20v%20ENG%20-%20J%20Henderson.jpg
175,Q252190,Xherdan Shaqiri,"(42.466666666, 21.466666666)",Gjilan,Kosovo,http://commons.wikimedia.org/wiki/Special:FilePath/Xherdan%20Shaqiri%202018.jpg
176,Q204825,Bebeto,"(-12.970833333, -38.510833333)",Salvador,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/Bebeto%20cropped.jpg
177,Q170376,Gabriel Batistuta,"(-29.1443478, -59.6437728)",Reconquista,Argentina,http://commons.wikimedia.org/wiki/Special:FilePath/Gabriel%20batistuta.jpg
178,Q184277,Yaya Touré,"(7.68333, -5.03306)",Bouaké,Ivory Coast,http://commons.wikimedia.org/wiki/Special:FilePath/Yaya%20Tour%C3%A9%20%28cropped%29.jpg
180,Q213427,Aaron Ramsey,"(51.578, -3.218)",Caerphilly,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/Aaron%20Ramsey%202019.jpg
181,Q80306,Giorgio Chiellini,"(43.716666666, 10.4)",Pisa,Italy,http://commons.wikimedia.org/wiki/Special:FilePath/Giorgio%20Chiellini%2C%202015%20%28cropped%29.jpg
